"key","AEIDprojectId","Asset_Class","Data_Class","Data_Quality","Data_Source","Data_Type","Execution_id","Feed_code","Record_create_by","Record_create_dt","Site","Source","Source_country","category_id","category_name","datasetId","delivery","description","file_create_dt","format","frequency","history","price_raw","product_name","region","row","seller_id","seller_title","seller_url"
"","AEID-4666","Equities","","File","Exchange Data","Market Data","622153/23/15","AEID-4666","AEID-4666_mdxtechnology","2022-10-30 12:21:09","https://app.mdxtechnology.com/catalogue/products","https://app.mdxtechnology.com/catalogue/products/1182-algoseek-equity--primary-exchange-daily-ohlc","Global","50","Market Data","1182","File","algoseek Daily Primary Exchange OHLC data contains the official opening/closing prices from the security’s listing exchanges, as well as . Other data points include Exchanges Volume, Non-Exchange Volume, AdjustmentFactor, AdjustmentReason, VWAP, Total Trades, Market Hours Volume, and Trades.
Example of Data Fields

SecId
TradeDate
Ticker
Name
PrimaryExchange
ISIN
Price/Time/Size of Open/High/Low/Close
Market-Hour Volume/Number of Trades
Total Volume/Number of Trades
Finra Market-Hour Volume/Number of Trades
Finra Total Volume/Number of Trades
Total Volume/Trades from listed exchange
Price/Volume Adjustment Factors
Cumulative Adjustment Factors
Market/Daily VWAP

Documentation
https://us-equity-market-data-docs.s3.amazonaws.com/algoseek.US.Equity.Daily.OHLC.Primary.Guide.pdf US Equity Primary Exchange Daily OHLC Guide (PDF - 373 KB)
Sample Data
https://algoseek-website-samples.s3.amazonaws.com/equity_daily_ohlc_primary.csv equity_daily_ohlc_primary.csv (789 KB)","2022-10-30","File","","","","algoseek Equity  Primary Exchange Daily OHLC","United States of America (USA),North America","1","26-algoseek","algoseek","https://app.mdxtechnology.com/catalogue/providers/26-algoseek"
"","AEID-4666","Derivatives","","","OTC Data","Market Data","622153/23/15","AEID-4666","AEID-4666_mdxtechnology","2022-10-30 12:21:10","https://app.mdxtechnology.com/catalogue/products","https://app.mdxtechnology.com/catalogue/products/181-coal-options-","Global","50","Market Data","181","","","2022-10-30","","","","","Coal Options ","","2","22-Marex Spectron","Marex Spectron","https://app.mdxtechnology.com/catalogue/providers/22-marex-spectron"
"","AEID-4666","Equities","","Streaming","Exchange Data","Market Data","622153/23/15","AEID-4666","AEID-4666_mdxtechnology","2022-10-30 12:21:10","https://app.mdxtechnology.com/catalogue/products","https://app.mdxtechnology.com/catalogue/products/1119-exchange-content---north-america-funds-(mut/mm/uit)","Global","50","Market Data","1119","Streaming","The ICE Consolidated Feed aggregates content from over 600 sources including 150+ exchanges, Cross Asset OTC coverage, Indices and News.","2022-10-30","Streaming","","","","Exchange Content - North America Funds (MUT/MM/UIT)","North America","3","1-ICE","ICE","https://app.mdxtechnology.com/catalogue/providers/1-ice"
"","AEID-4666","Equities","Adjustment Factors","File","Exchange Data","Reference Data","622153/23/15","AEID-4666","AEID-4666_mdxtechnology","2022-10-30 12:21:10","https://app.mdxtechnology.com/catalogue/products","https://app.mdxtechnology.com/catalogue/products/1167-algoseek-detailed-adjustment-factors","Global","51","Reference Data","1167","File","algoseek Detailed Adjustment Factors dataset provides information about corporate events affecting price and/or volume to create historically-adjusted time-series for backtesting. This is the upgraded version of the Basic Adjustment Factors data with additional data points covering Event Type, Details of the Event, and ISIN.
Data Fields

Sec ID
Ticker
Adjustment Factor
ReportDate
AdjustmentReason
EventID
EventType
Detail
ISIN

Documentation
https://us-equity-reference-docs.s3.amazonaws.com/algoseek.US.Equity.Adjustment.Factors.Detailed.pdf US Equity Adjustment Factors Guide - PDF (PDF - 426 KB)
Sample Data
https://algoseek-website-samples.s3.amazonaws.com/equity_adj_factor_detail.csv equity_adj_factor_detail.csv (7 KB)","2022-10-30","File","","","","algoseek Detailed Adjustment Factors","United States of America (USA),North America","4","26-algoseek","algoseek","https://app.mdxtechnology.com/catalogue/providers/26-algoseek"
"","AEID-4666","","","File","","Alternative Data","622153/23/15","AEID-4666","AEID-4666_mdxtechnology","2022-10-30 12:21:10","https://app.mdxtechnology.com/catalogue/products","https://app.mdxtechnology.com/catalogue/products/24-airport-landing-slot-data---passenger-&-freight","Global","52","Alternative Data","24","File","Landing slot information for both Passenger and Freight flights into and out of 47 major airports across the globe. Data derived from an Airport Slot Coordinator, engaged by airports to ensure efficient use of capacity and better operational performance for the benefit of airport operators, airlines and passengers, in line with industry regulations.

Covers 47 major airports, globally, includes Freight and Passenger landing slots
History: depends on airport (up to 25 years)
3 - 6 months forward looking view as airlines are required to pre-book slots
Covers all flights handled by each airport
Frequency: Daily
Universe: Global airlines
Predict airline financial performance based on future business plans 3-6 months out
Insights into future trends for passenger and freight airlines including new routes, cancels and amends
Insight into baggage handling, airport company and all support services future prospects
Travel patterns by demographic/region
Can be leveraged with other data for macro views like Oil demand and cargo patterns
","2022-10-30","File","","","","Airport landing slot data - Passenger & Freight","Global","5","10-Alqami","Alqami","https://app.mdxtechnology.com/catalogue/providers/10-alqami"
"","AEID-4666","Equities","Adjustment Factors","File","Exchange Data","Reference Data","622153/23/15","AEID-4666","AEID-4666_mdxtechnology","2022-10-30 12:21:10","https://app.mdxtechnology.com/catalogue/products","https://app.mdxtechnology.com/catalogue/products/128-adjustment-factors","Global","51","Reference Data","128","File","Compare historical pricing data with current prices and conduct detailed analysis with our adjusted closing prices or adjustment factors data feeds.
The Adjustment Factors Data Feed main use is to back adjust EOD (end of day) per-share price data so that the price series can be graphed with the effect of several events (bonus, rights, consolidation, etc) factored into the earlier prices.
All per-share series, including prices, earnings per share, dividends per share, assets per share, cash flow per share, etc. need to be adjusted before meaningful conclusions can be drawn about growth rates, trends, etc.<br>
The feed has all necessary fields so that clients can identify the country, security, event  factor.<br>
Further the feed has been designed for clients to database the records or apply directly to price series data. The file also covers all corporate actions spanning multiple currencies for the same event. The main benefit of this feed over competitor feeds is that it can be fully automated allowing the handling of messy cancellations and corporate action changes to happen seamlessly in the background. EDI has recently launched a new version (2) of the Worldwide Adjustment Factor feed<br>
service.
The major three additions are as follows:<br>
• Inclusion of FIGI codes. FIGI codes have been added which will allow clients to crosscheck data sets.<br>
• The fields that were sub-fields in the Detail field of the previous version now have their own fields.For example, DivType was in the Detail field (event description) as DIVPERIOD= This will allow for<br>
easier integration of the data.<br>
• The Reason codes are different, expanded to 3 characters enabling higher level groupings of reasons. For example, all dividend reasons begin with 01, with the 3rd character depending on whether it is cash, script or both. This allows greater granularity when deciding to apply or not.<br>
Delivery options: Available on Snowflake - Web Based Application -SFTP -Amazon S3 -API<br>
Delivery format: -CSV -TXT - TAB","2022-10-30","File","","","","Adjustment Factors","Global","6","19-EDI","EDI","https://app.mdxtechnology.com/catalogue/providers/19-edi"
"","AEID-4666","Equities","Adjustment Factors","File","Exchange Data","Reference Data","622153/23/15","AEID-4666","AEID-4666_mdxtechnology","2022-10-30 12:21:10","https://app.mdxtechnology.com/catalogue/products","https://app.mdxtechnology.com/catalogue/products/1168-algoseek-cumulative-adjustment-factors","Global","51","Reference Data","1168","File","algoseek Cumulative Adjustment Factors dataset is designed to assist clients in adjusting historical price and volume for equities.
For each publicly traded stock in the U.S. markets, this dataset provides cumulative adjustment factors and event types for the creation of forward or backward adjusted pricing and/or volume for any date from 2007 to the present.
Data Fields

Sec ID
Ticker
EffectiveDate
Cumulative Backward Price Adjustment
Cumulative Forward Price Adjustment
Cumulative Backward Volume Adjustment
Cumulative Forward Volume Adjustment
AdjustmentReason
EventType

Documentation
https://us-equity-reference-docs.s3.amazonaws.com/algoseek.US.Equity.Adjustment.Factors.Cumulative.pdf US Equity Cumulative Adjustment Factors Guide (PDF - 376 KB)
Sample Data
https://algoseek-website-samples.s3.amazonaws.com/equity_adj_factor_cumul.csv equity_adj_factor_cumul.csv (4 KB)","2022-10-30","File","","","","algoseek Cumulative Adjustment Factors","United States of America (USA),North America","7","26-algoseek","algoseek","https://app.mdxtechnology.com/catalogue/providers/26-algoseek"
"","AEID-4666","Equities","Reference Data","File","Exchange Data","","622153/23/15","AEID-4666","AEID-4666_mdxtechnology","2022-10-30 12:21:10","https://app.mdxtechnology.com/catalogue/products","https://app.mdxtechnology.com/catalogue/products/1169-algoseek-equities-security-master-file","Global","","","1169","File","algoseek Equity Security Master File contains listed and delisted Equity securities including stocks, ETFs, ETNs, ADRs, stock warrants, and preferred stocks from 2007 to present with summary information and industry identifiers. It allows clients to track historical changes of ticker, name, ISIN, primary exchange, etc. for each security.
This dataset is updated daily at approximately 01:00 AM EST and includes all changes from the previous trading day.
Data Fields

SecID
Tickers
TickersStartToEndDate
Name
NameStartToEndDate
ISIN
ISINStartToEndDate
ListStatus
SecurityDescription
USIdentifier
USIdentifierStartToEndDate
PrimaryExchange
PrimaryExchangeStartToEndDate
SEDOL
Sic
Sector
Industry
FIGI

Documentation
https://us-equity-reference-docs.s3.amazonaws.com/algoseek.US.Equity.Security.Master.File.pdf US Equity Security Master and Lookup Files Guide (PDF - 364 KB)
Sample Data
https://algoseek-website-samples.s3.amazonaws.com/equity_security_master.zip equity_security_master.zip (2 KB)","2022-10-30","File","","","","algoseek Equities Security Master File","United States of America (USA),North America","8","26-algoseek","algoseek","https://app.mdxtechnology.com/catalogue/providers/26-algoseek"
"","AEID-4666","Equities","Adjusting Closing Prices ","File","Exchange Data","Reference Data","622153/23/15","AEID-4666","AEID-4666_mdxtechnology","2022-10-30 12:21:10","https://app.mdxtechnology.com/catalogue/products","https://app.mdxtechnology.com/catalogue/products/107-adjusted-closing-prices","Global","51","Reference Data","107","File","Compare historical pricing data with current prices and conduct detailed analysis with either our adjusted closing prices or adjustment factors data feeds.
Compare historical pricing data with current prices and conduct detailed analysis with either our adjusted closing prices or adjustment factors data feeds.<br>
Make use of daily adjusted closing price data containing all historical prices: open, high, low  close, adjusted according to the factor published that day.

Obtain the most appropriate Adjustment Factors for your needs
The richness of the file and depth of data allows you the choice of using the most appropriate factor for your purposes.
","2022-10-30","File","","","","Adjusted Closing Prices","Global","9","19-EDI","EDI","https://app.mdxtechnology.com/catalogue/providers/19-edi"
"","AEID-4666","Equities","Adjustment Factors","File","Exchange Data","Reference Data","622153/23/15","AEID-4666","AEID-4666_mdxtechnology","2022-10-30 12:21:10","https://app.mdxtechnology.com/catalogue/products","https://app.mdxtechnology.com/catalogue/products/1170-algoseek-basic-adjustment-factors","Global","51","Reference Data","1170","File","algoseek Basic Adjustment Factors dataset provides information about corporate events affecting price and/or volume to create historically-adjusted time-series for backtesting.
Data Fields

Sec ID
Ticker
Adjustment Factor
AdjustmentReason
EventID

Documentation
https://us-equity-reference-docs.s3.amazonaws.com/algoseek.US.Equity.Adjustment.Factors.Detailed.pdf US Equity Adjustment Factors Guide (PDF - 427 KB)
Sample Data
https://algoseek-website-samples.s3.amazonaws.com/equity_adj_factor_basic.csv equity_adj_factor_basic.csv (2 KB)","2022-10-30","File","","","","algoseek Basic Adjustment Factors","United States of America (USA),North America","10","26-algoseek","algoseek","https://app.mdxtechnology.com/catalogue/providers/26-algoseek"
